Story ID,Epic,Feature,Story Title,User Story,Acceptance Criteria (Given/When/Then),Definition of Done,Dependencies,Priority,Complexity
US-01.1.1,User Authentication,Google Login,Sign in with Google,"As a user, I want to sign in with my Google account so that I can access the app quickly without creating a new password.","1. Given I am on the login screen, When I tap ""Continue with Google"", Then I am shown the Google account picker / consent screen.
2. Given I select a Google account and grant consent, When authentication succeeds, Then I am logged in and routed to onboarding (if new) or the dashboard (if returning).
3. Given I cancel or deny the Google consent screen, When I return to the app, Then I remain on the login screen with no account created.","Code merged to main; unit and integration tests passing; OAuth flow verified on iOS and Android; error states (network failure, denied consent) handled with user-facing messaging; QA sign-off; no critical/high bugs open.",Backend Auth service and User data model must exist before session issuance can be implemented.,High,Medium
US-01.2.1,User Authentication,Guest Login,Continue as Guest,"As a user, I want to use the app as a guest so that I can try it out before committing to creating an account.","1. Given I am on the login screen, When I tap ""Continue as Guest"", Then a temporary local/session identity is created and I am routed to onboarding.
2. Given I am using a guest session, When I close and reopen the app on the same device, Then my guest data and progress persist.
3. Given I am a guest user, When I attempt an action requiring a permanent account (if any are gated in MVP), Then I am prompted to upgrade by linking a Google account.",Code merged to main; guest identity persists across app restarts on-device; guest-to-Google upgrade path (if in scope) tested; QA sign-off; no critical/high bugs open.,Depends on core User data model; upgrade path depends on Google Login (US-01.1.1) being implemented.,High,Small
US-02.1.1,User Onboarding,Profile Data Collection,Complete profile onboarding,"As a user, I want to provide my basic profile and fitness information so that the app can personalize my workout recommendations.","1. Given I am a new user, When I begin onboarding, Then I am guided step-by-step through Age, Gender, Height, Weight, Fitness Goal, Activity Level, and Exercise Preferences.
2. Given I submit a value outside a plausible range (e.g., age 200), When I attempt to proceed, Then I see inline validation and cannot continue until corrected.
3. Given I complete all required onboarding fields, When I submit, Then my profile is saved and I am routed to my Health Metrics summary.
4. Given I close the app mid-onboarding, When I reopen it, Then I resume from the last completed step.",Code merged to main; all fields validated client- and server-side; profile data persisted correctly; resume-on-reopen tested; accessibility check for form labels; QA sign-off; no critical/high bugs open.,Requires User Authentication (EPIC-01) to associate profile data with an identity.,High,Large
US-02.2.1,User Onboarding,Voice/Text Onboarding Input,Answer onboarding questions by voice,"As a user, I want to answer onboarding questions using my voice so that I can complete setup hands-free or more naturally.","1. Given I am on an onboarding question, When I tap the microphone control and speak my answer, Then my speech is transcribed and the corresponding field is populated for my confirmation.
2. Given my spoken answer is transcribed with low confidence or is ambiguous, When the system detects this, Then I am asked to confirm or repeat the answer rather than having an incorrect value silently saved.
3. Given I prefer not to use voice, When I am on any onboarding question, Then I can always type my answer instead.",Code merged to main; STT integration tested on both platforms; low-confidence fallback verified; text input always available as alternative; QA sign-off; no critical/high bugs open.,Depends on Profile Data Collection (US-02.1.1) UI being in place; depends on AI Avatar voice infrastructure (EPIC-06) if STT service is shared.,Medium,Medium
US-03.1.1,Health Metrics,BMI Calculation,View my BMI,"As a user, I want to see my calculated BMI so that I understand a basic health reference point as I start using the app.","1. Given I have completed onboarding with valid height and weight, When my profile is saved, Then my BMI is calculated as weight(kg) / height(m)^2 and displayed on my Health Metrics summary.
2. Given my BMI is displayed, When I view it, Then it is shown alongside its standard category label (Underweight/Normal/Overweight/Obese) and a disclaimer that it is an estimate, not medical advice.
3. Given I update my height or weight later, When I save the change, Then my BMI is recalculated and updated.",Code merged to main; formula unit-tested against known values; disclaimer copy approved; recalculation-on-edit verified; QA sign-off; no critical/high bugs open.,Depends on Profile Data Collection (US-02.1.1) providing height and weight.,High,Small
US-03.2.1,Health Metrics,Maximum Heart Rate Calculation,View my Maximum Heart Rate,"As a user, I want to see my estimated Maximum Heart Rate so that I have a reference point for workout intensity.","1. Given I have completed onboarding with a valid age, When my profile is saved, Then my MHR is calculated as 220 minus my age and displayed on my Health Metrics summary.
2. Given I update my age, When I save the change, Then my MHR is recalculated and updated.",Code merged to main; formula unit-tested; recalculation-on-edit verified; QA sign-off; no critical/high bugs open.,Depends on Profile Data Collection (US-02.1.1) providing age.,High,Small
US-03.3.1,Health Metrics,Training Zone Recommendation,View my Target Training Zone,"As a user, I want to see my recommended training heart-rate zone so that I know how hard to push during workouts.","1. Given my MHR has been calculated, When I view my Health Metrics summary, Then my Target Training Zone is displayed as a bpm range equal to 60% to 80% of my MHR.
2. Given my MHR is recalculated due to a profile edit, When the update completes, Then my Target Training Zone range is also updated.",Code merged to main; formula unit-tested; displayed range matches MHR-derived calculation; QA sign-off; no critical/high bugs open.,Depends on Maximum Heart Rate Calculation (US-03.2.1).,High,Small
US-04.1.1,User Personas,Persona Classification Engine,Get classified into relevant personas,"As a user, I want the app to understand what kind of exerciser I am so that my recommendations feel relevant to my actual situation.","1. Given I have completed onboarding, When persona classification runs, Then I am assigned one or more of the nine defined personas (Complete Beginner, Casual Office Worker, Regular Gym-Goer, Strength Training User, Weight Loss Seeker, Home Workout User, Inconsistent Enthusiast, AI Companion Seeker, Injury Recovery User) based on documented rules.
2. Given my onboarding inputs match multiple persona rule sets, When classification runs, Then all matching personas are stored on my profile, not just one.
3. Given my behavior changes over time (e.g., missed workouts), When the system re-evaluates behavioral personas on a scheduled basis, Then my persona tags are updated accordingly.",Code merged to main; persona rules documented and unit-tested for each defined combination; re-evaluation job scheduled and tested; QA sign-off; no critical/high bugs open.,Depends on Profile Data Collection (US-02.1.1); behavioral personas depend on Workout Session completion data (EPIC-07) existing.,High,Large
US-04.2.1,User Personas,Persona-Driven Personalization Hooks,Expose persona data to personalization features,"As a product team, I want persona tags to be available to the Workout Recommendation Engine and AI Avatar so that personalization is consistent across the app.","1. Given a user has one or more persona tags, When the Workout Recommendation Engine requests user context, Then the active persona tags are included in the response.
2. Given a user has one or more persona tags, When the AI Avatar service requests user context, Then the active persona tags are included and available to influence tone.
3. Given persona tags change after re-evaluation, When downstream features next request user context, Then they receive the updated tags without requiring a redeploy.",Code merged to main; shared user-context API/contract documented; consumed correctly by both downstream features in integration tests; QA sign-off; no critical/high bugs open.,Depends on Persona Classification Engine (US-04.1.1).,High,Medium
US-05.1.1,Workout Recommendation Engine,Multi-Plan Generation,See multiple workout options,"As a user, I want to see a few different workout options so that I feel I have a choice rather than being forced into a single plan.","1. Given I have completed onboarding and persona classification, When I request or am shown my workout plan, Then 3 to 4 distinct workout options are generated and displayed.
2. Given multiple workout options are generated, When I compare them, Then each is meaningfully different (e.g., focus area, duration, or intensity) rather than near-duplicates.
3. Given I dismiss all generated options, When I request new options, Then the engine regenerates a new set of 3-4 options.",Code merged to main; generation logic produces 3-4 differentiated plans in test scenarios across personas/goals; regeneration flow tested; QA sign-off; no critical/high bugs open.,Depends on Health Metrics (EPIC-03) and Persona Classification (US-04.1.1) being available as inputs.,High,Large
US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,"As a user, I want one workout option to be clearly recommended so that I don't have to think hard if I just want to get started quickly.","1. Given 3-4 workout options have been generated, When they are displayed, Then exactly one is visually marked as the recommended option.
2. Given I select the recommended option, When I start it, Then the session begins using that plan's exercises and parameters.
3. Given my recent workout history changes (e.g., I trained legs yesterday), When new options are generated, Then the recommended pick reflects that history (e.g., favors a different focus area) rather than repeating the same choice blindly.",Code merged to main; recommendation scoring logic documented and unit-tested; recommended flag correctly set in exactly one option per generation; QA sign-off; no critical/high bugs open.,Depends on Multi-Plan Generation (US-05.1.1).,High,Medium
US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona","As a user, I want my workout recommendations to reflect my goal, fitness level, persona, and stated inputs so that the plans actually fit my situation.","1. Given my Fitness Goal is set (e.g., Weight Loss), When plans are generated, Then exercise selection and structure reflect logic appropriate to that goal.
2. Given I carry the Injury Recovery User persona with a specified injury area, When plans are generated, Then exercises contraindicated for that injury are excluded and suitable substitutions are used.
3. Given I carry the Home Workout User persona with no equipment, When plans are generated, Then only bodyweight/no-equipment exercises are included.",Code merged to main; personalization rules documented per goal and persona; unit tests cover at least one scenario per persona and per goal; QA sign-off; no critical/high bugs open.,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).,High,Large
US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,"As a user, I want my AI Avatar to speak coaching cues out loud so that I can stay engaged with the workout without constantly looking at my screen.","1. Given I am in an active workout session, When an exercise begins, Then the AI Avatar speaks a short coaching cue (e.g., exercise name, rep target) via text-to-speech.
2. Given the AI Avatar is speaking, When I have my device on silent or have disabled voice in settings, Then the equivalent message is shown as text instead of audio.
3. Given text-to-speech playback fails (e.g., network issue), When this occurs, Then the text version is still displayed so I'm not left without guidance.",Code merged to main; TTS integration tested on both platforms; silent-mode/text fallback verified; failure-mode fallback verified; QA sign-off; no critical/high bugs open.,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.,High,Medium
US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,"As a user, I want to receive motivational messages tied to my real activity so that I feel encouraged rather than nagged by generic content.","1. Given I complete a workout, When the session ends, Then I receive a motivational message referencing something specific (e.g., streak, personal milestone) rather than a generic phrase.
2. Given I return to the app after a gap of several days, When I open the app, Then I receive an encouraging ""welcome back"" style message rather than a guilt-based one.
3. Given my talkativeness setting is ""Minimal"", When a motivational moment would normally trigger proactively, Then no unsolicited message is sent.",Code merged to main; message templates reviewed for tone; talkativeness gating verified; QA sign-off; no critical/high bugs open.,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).,Medium,Medium
